"Datum";"Uhrzeit";"Wochentag";"#";"ST";"Mannschaft 1";"Mannschaft 2";"Schiedsgericht";"Gastgeber";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Satzpunkte";"Ballpunkte";"Spieldauer";"Satzpunkte 1";":";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";":";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";":";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";":";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";"Satz 4 - Ballpunkte 1";":";"Satz 4 - Ballpunkte 2";"Satz 4 - Satzdauer";"Satz 5 - Ballpunkte 1";":";"Satz 5 - Ballpunkte 2";"Satz 5 - Satzdauer";
"20.09.2025";"13:00:00";"Samstag";"4";"Spieltag 1";"TVE Vogelsang";"VV Humann Essen II";"-";"TVE Vogelsang";"Sportzentrum West, Halle A (58285 Gevelsberg)";"Sportzentrum West, Halle A (58285 Gevelsberg)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.09.2025";"15:00:00";"Sonntag";"1";"Spieltag 1";"KT 43 Köln";"VTV Freier Grund";"-";"KT 43 Köln";"Gymnasium Kreuzgasse (50672 Köln)";"Gymnasium Kreuzgasse (50672 Köln)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.09.2025";"16:00:00";"Sonntag";"2";"Spieltag 1";"TV Jahn Königshardt";"STV Hünxe";"-";"TV Jahn Königshardt";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.09.2025";"16:00:00";"Sonntag";"3";"Spieltag 1";"PTSV Aachen IV";"SV Wachtberg";"-";"PTSV Aachen IV";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.09.2025";"16:00:00";"Sonntag";"5";"Spieltag 1";"Dürener TV";"VC Eintracht Geldern";"-";"Dürener TV";"Burgau Gymnasium Düren (52349 Düren)";"Burgau Gymnasium Düren (52349 Düren)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"04.10.2025";"18:00:00";"Samstag";"8";"Spieltag 2";"STV Hünxe";"Dürener TV";"-";"STV Hünxe";"Sporthalle Hünxe (46569 Hünxe)";"Sporthalle Hünxe (46569 Hünxe)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"04.10.2025";"18:00:00";"Samstag";"9";"Spieltag 2";"VC Eintracht Geldern";"KT 43 Köln";"-";"VC Eintracht Geldern";"Sporthalle Am Bollwerk (47608 Geldern)";"Sporthalle Am Bollwerk (47608 Geldern)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"04.10.2025";"19:00:00";"Samstag";"6";"Spieltag 2";"VV Humann Essen II";"PTSV Aachen IV";"-";"VV Humann Essen II";"Sporthalle Hubertusburg (45136 Essen)";"Sporthalle Hubertusburg (45136 Essen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"04.10.2025";"19:00:00";"Samstag";"10";"Spieltag 2";"VTV Freier Grund";"TVE Vogelsang";"-";"VTV Freier Grund";"Bertha-von-Suttner-Gesamtschule (neu) (57072 Siegen)";"Bertha-von-Suttner-Gesamtschule (neu) (57072 Siegen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"05.10.2025";"15:00:00";"Sonntag";"7";"Spieltag 2";"SV Wachtberg";"TV Jahn Königshardt";"-";"SV Wachtberg";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
