Datum und Uhrzeit;Wochentag;#;ST;Heim;Mannschaft 1: Verein;Gast;Mannschaft 2: Verein;SR;Schiedsgericht: Verein;Gastgeber;Gastgeber: Verein;Austragungsort/Ergebnis;Ort;Ergebnis;Saison;Spielrunde;Geschlecht;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;Satzpunkte 2;Satz 1 - Ballpunkte 1;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer;Datum;Uhrzeit;USC_Team;Gruppen-Ebene;Spielgruppe;Spielfeld;Feldrunde;Datum_DT;Tag
"""12.10.2025, 16:00:00""";"""Sonntag""";"""2001""";"""Spieltag 1""";"""USC1""";"""USC Münster e.V.""";"""SSC Palmberg Schwerin""";"""Schweriner SC e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""3:2 / 106:106""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:2 / 106:106""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""106:106""";"""115""";"""2124""";"""3""";"""2""";"""20""";"""25""";"""24""";"""25""";"""22""";"""25""";"""21""";"""25""";"""25""";"""25""";"""21""";"""24""";"""15""";"""13""";"""17""";;;USC1;;;;;;
"""15.10.2025, 19:30:00""";"""Mittwoch""";"""2011""";"""Spieltag 2""";"""Binder Blaubären TSV Flacht""";"""TSV Flacht 1903 e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""Binder Blaubären TSV Flacht""";"""TSV Flacht 1903 e.V.""";"""0:3 / 49:75""";"""Heckengäusporthalle II (71287 Weissach)""";"""0:3 / 49:75""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""49:75""";"""64""";"""433""";"""0""";"""3""";"""14""";"""25""";"""22""";"""15""";"""25""";"""21""";"""20""";"""25""";"""21""";;;;;;;;;USC1;;;;;;
"""26.10.2025, 16:00:00""";"""Sonntag""";"""2013""";"""Spieltag 3""";"""USC1""";"""USC Münster e.V.""";"""ETV Hamburger Volksbank Volleys""";"""Eimsbütteler TV""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""3:0 / 76:55""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:0 / 76:55""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""76:55""";"""71""";"""1729""";"""3""";"""0""";"""26""";"""24""";"""26""";"""25""";"""15""";"""21""";"""25""";"""16""";"""24""";;;;;;;;;USC1;;;;;;
"""01.11.2025, 19:30:00""";"""Samstag""";"""2025""";"""Spieltag 7""";"""USC1""";"""USC Münster e.V.""";"""Ladies in Black Aachen""";"""Post-Telekom-Sportverein Aachen e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""1:3 / 88:96""";"""Sporthalle Berg Fidel (48153 Münster)""";"""1:3 / 88:96""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""88:96""";"""98""";"""2015""";"""1""";"""3""";"""22""";"""25""";"""25""";"""19""";"""25""";"""22""";"""25""";"""21""";"""26""";"""22""";"""25""";"""25""";;;;;;USC1;;;;;;
"""15.11.2025, 17:15:00""";"""Samstag""";"""2033""";"""Spieltag 9""";"""VfB Suhl LOTTO Thüringen""";"""VfB 91 Suhl e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""VfB Suhl LOTTO Thüringen""";"""VfB 91 Suhl e.V.""";"""3:0 / 78:61""";"""Sporthalle Wolfsgrube (98527 Suhl)""";"""3:0 / 78:61""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""78:61""";"""81""";"""1000""";"""3""";"""0""";"""25""";"""14""";"""23""";"""25""";"""21""";"""26""";"""28""";"""26""";"""32""";;;;;;;;;USC1;;;;;;
"""29.11.2025, 17:15:00""";"""Samstag""";"""2037""";"""Spieltag 10""";"""USC1""";"""USC Münster e.V.""";"""Skurios Volleys Borken""";"""RSV Borken 22 e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""3:0 / 80:66""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:0 / 80:66""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""80:66""";"""80""";"""1923""";"""3""";"""0""";"""30""";"""28""";"""33""";"""25""";"""18""";"""23""";"""25""";"""20""";"""24""";;;;;;;;;USC1;;;;;;
"""06.12.2025, 18:00:00""";"""Samstag""";"""2044""";"""Spieltag 11""";"""VC Wiesbaden""";"""1. VC Wiesbaden e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""VC Wiesbaden""";"""1. VC Wiesbaden e.V.""";"""3:2 / 101:101""";"""Sporthalle am Platz der Deutschen Einheit (65185 Wiesbaden)""";"""3:2 / 101:101""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""101:101""";"""105""";"""1197""";"""3""";"""2""";"""15""";"""25""";"""20""";"""25""";"""19""";"""23""";"""16""";"""25""";"""24""";"""25""";"""14""";"""18""";"""20""";"""18""";"""20""";;;USC1;;;;;;
"""13.12.2025, 17:35:00""";"""Samstag""";"""2049""";"""Spieltag 12""";"""USC1""";"""USC Münster e.V.""";"""Dresdner SC""";"""Dresdner SC 1898 e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""3:2 / 103:107""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:2 / 103:107""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""103:107""";"""121""";"""2042""";"""3""";"""2""";"""17""";"""25""";"""24""";"""25""";"""22""";"""26""";"""25""";"""23""";"""26""";"""21""";"""25""";"""27""";"""15""";"""12""";"""18""";;;USC1;;;;;;
"""17.12.2025, 17:30:00""";"""Mittwoch""";"""2067""";"""Spieltag 13""";"""SSC Palmberg Schwerin""";"""Schweriner SC e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""SSC Palmberg Schwerin""";"""Schweriner SC e.V.""";"""3:0 / 75:60""";"""Palmberg Arena (19059 Schwerin)""";"""3:0 / 75:60""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""75:60""";"""73""";"""1739""";"""3""";"""0""";"""25""";"""22""";"""31""";"""25""";"""16""";"""22""";"""25""";"""22""";"""20""";;;;;;;;;USC1;;;;;;
"""20.12.2025, 19:30:00""";"""Samstag""";"""2055""";"""Spieltag 14""";"""USC1""";"""USC Münster e.V.""";"""Allianz MTV Stuttgart""";"""MTV Stuttgart 1843 e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""1:3 / 86:99""";"""Sporthalle Berg Fidel (48153 Münster)""";"""1:3 / 86:99""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""86:99""";"""94""";"""1709""";"""1""";"""3""";"""17""";"""25""";"""21""";"""19""";"""25""";"""22""";"""25""";"""22""";"""25""";"""25""";"""27""";"""26""";;;;;;USC1;;;;;;
